environment	page node id	link	url location	page title	drupal content type	publish status	page content age	total views	status codes	path depth	team count	team ids	team names	block teams count	block team ids	block teams	total node count	reusable block count	# blocks with no team	blocks with team matching page	blocks with team not matching page	percent blocks no team	percent blocks page team match	block types	block type details	reusable block types
arts	1456268	link	https://arts.ucalgary.ca/arts-website-menu-survey-rules	Arts website menu survey rules	Basic page	Published	2.6		200	0	1	1	ARTS - 1	1	1	ARTS - 1	3		1	2	0	33	67	Hero CTA|Text|Webform Inline	Hero CTA (1,2023-03-03) | Text (1,2023-06-07) | Webform Inline (1,2023-06-06)	
arts	1456280	link	https://arts.ucalgary.ca/psychology/contact/psychology-directory/full-time-faculty	Psychology full-time faculty	Basic page	Published	1	2416	200	3	1	34	PSYC - 34	1	34	PSYC - 34	2	1	1	1	0	50	50	Hero CTA|Profile List	Hero CTA (1,2023-05-04) | Profile List (1,2025-01-20)	Profile List
arts	1456281	link	https://arts.ucalgary.ca/psychology/contact/psychology-directory/sessional-instructors	Psychology sessional instructors	Basic page	Published	1.7	280	200	3	1	34	PSYC - 34	1	34	PSYC - 34	2		1	1	0	50	50	Hero CTA|Profile List	Hero CTA (1,2023-05-04) | Profile List (1,2024-04-30)	
arts	1456283	link	https://arts.ucalgary.ca/psychology/contact/psychology-directory/graduate-students	Psychology graduate students	Basic page	Published	1.7	379	200	3	1	34	PSYC - 34	1	34	PSYC - 34	2		1	1	0	50	50	Hero CTA|Profile List	Hero CTA (1,2023-05-04) | Profile List (1,2024-04-30)	
arts	1456285	link	https://arts.ucalgary.ca/psychology/contact/psychology-directory/emeriti-and-retired-professors	Psychology emeriti and retired professors	Basic page	Published	0.7	315	200	3	1	34	PSYC - 34	1	34	PSYC - 34	2	1	1	1	0	50	50	Hero CTA|Text Grid	Hero CTA (1,2023-05-04) | Text Grid (1,2025-05-13)	Text Grid
arts	1456337	link	https://arts.ucalgary.ca/node/1456337	DRAFT REVISION ARTS Home	Basic page	Unpublished	0.1		403	1	1	1	ARTS - 1	2	1|18	ARTS - 1|Research - 18	24	12	6	17	1	25	71	Divider|Hero CTA|Image|Image with Text|More Information|News Feed|Related Content|Streaming Media|Text	Divider (3,2024-04-24) | Hero CTA (1,2024-08-15) | Image (4,2024-05-23) | Image with Text (2,2025-12-05) | More Information (5,2025-06-09) | News Feed (1,2024-05-06) | Related Content (1,2025-01-31) | Streaming Media (1,2024-05-16) | Text (6,2024-05-24)	Hero CTA|Image|Image with Text|More Information|Related Content|Streaming Media|Text
arts	1456408	link	https://arts.ucalgary.ca/calgary-institute-humanities/events-and-community/lecture-series/egmont-lee-founders-lecture	Egmont Lee Founders' Lecture	Basic page	Published	1	148	200	3	1	24	CIH - 24	1	24	CIH - 24	4		1	3	0	25	75	Banner|Hero CTA|Text	Banner (1,2025-01-09) | Hero CTA (2,2023-12-04) | Text (1,2023-12-04)	
arts	1456409	link	https://arts.ucalgary.ca/english/future-students/undergraduate/creative-writing	ENGL Future Students Undergraduate Creative Writing	Basic page	Published	0.1	2346	200	3	1	13	ENGL - 13	39	1|2|3|9|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|29|30|32|33|34|35|36|37|39|41|43|45|47|49|51|53|54|55|56|57	ALMC - 37|ANTH - 20|ART & ART HIST - 36|ARTS - 1|ASC - 14|ASHA - 16|CDWP - 23|CHIN - 39|CIH - 24|CLARE - 2|CMF - 21|CMSS - 25|COOP - 15|ECON - 27|ENGL - 13|FREN - 41|FRENCH CENTRE - 54|GEOG - 3|Geospatial Information Technology|GERM - 43|HIST - 29|IIS - 30|INDL - 45|IT - 19|ITAL - 47|JPNS - 49|LARC - 32|LRC - 55|PHIL - 33|POLI - 9|PSYC - 34|Psychology Clinic|RDC - 17|Research - 18|RUSS - 51|SCPA - 26|SLLLC - 22|SOCI - 35|SPAN - 53	15	4	1	13	1	7	87	Accordion|Banner|Divider|Hero CTA|Image|Image with Text|Info Shim|More Information|Text|Text Grid|Thumbnail	Accordion (1,2025-11-21) | Banner (1,2024-03-15) | Divider (1,2023-12-14) | Hero CTA (1,2023-12-14) | Image (1,2024-03-15) | Image with Text (2,2024-03-15) | Info Shim (1,2023-12-14) | More Information (2,2024-08-16) | Text (3,2025-02-21) | Text Grid (1,2025-05-07) | Thumbnail (1,2025-12-10)	Image with Text|More Information|Text Grid|Thumbnail
arts	1456412	link	https://arts.ucalgary.ca/node/1456412	test	Basic page	Unpublished	2		403	1	0			1	26	SCPA - 26	2		1	0	1	50	0	Hero CTA|Profile List	Hero CTA (1,2023-12-19) | Profile List (1,2024-01-03)	
arts	1456414	link	https://arts.ucalgary.ca/calgary-institute-humanities/events-and-community/lecture-series/naomi-lacey-memorial-lecture	Naomi Lacey Memorial Lecture	Basic page	Published	1	134	200	3	1	24	CIH - 24	1	24	CIH - 24	5		1	4	0	20	80	Hero CTA|Sidekick CTA|Text	Hero CTA (2,2024-01-16) | Sidekick CTA (1,2025-01-14) | Text (2,2025-01-09)	
arts	1456415	link	https://arts.ucalgary.ca/agsc-scratch-page	AGSC Scratch Page	Basic page	Unpublished	2		403	0	1	65	AGSC - 65				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456416	link	https://arts.ucalgary.ca/anar-scratch-page	ANAR scratch page	Basic page	Unpublished	2		403	0	1	20	ANTH - 20				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456417	link	https://arts.ucalgary.ca/daah-scratch-page	DAAH scratch page	Basic page	Unpublished	2		403	0	1	36	ART & ART HIST - 36				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456419	link	https://arts.ucalgary.ca/asc-scratch-page	ASC scratch page	Basic page	Unpublished	2		403	0	1	14	ASC - 14				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456420	link	https://arts.ucalgary.ca/arts-scratch-page	ARTS scratch page	Basic page	Unpublished	2		403	0	1	1	ARTS - 1				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456421	link	https://arts.ucalgary.ca/asha-scratch-page	ASHA scratch page	Basic page	Unpublished	2		403	0	1	16	ASHA - 16				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456422	link	https://arts.ucalgary.ca/cdwp-scratch-page	CDWP scratch page	Basic page	Unpublished	2		403	0	1	23	CDWP - 23				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456423	link	https://arts.ucalgary.ca/calgary-institute-humanities-scratch-page	CIH scratch page	Basic page	Unpublished	2		403	0	1	24	CIH - 24				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456424	link	https://arts.ucalgary.ca/clare-scratch-page	CLARE scratch page	Basic page	Unpublished	2		403	0	1	2	CLARE - 2				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456425	link	https://arts.ucalgary.ca/cmf-scratch-page	CMF scratch page	Basic page	Unpublished	2		403	0	1	21	CMF - 21				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456426	link	https://arts.ucalgary.ca/cmss-scratch-page	CMSS scratch page	Basic page	Unpublished	2		403	0	1	25	CMSS - 25				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456427	link	https://arts.ucalgary.ca/coop-scratch-page	COOP scratch page	Basic page	Unpublished	2		403	0	1	15	COOP - 15				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456428	link	https://arts.ucalgary.ca/econ-scratch-page	ECON scratch page	Basic page	Unpublished	2		403	0	1	27	ECON - 27				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456429	link	https://arts.ucalgary.ca/engl-scratch-page	ENGL scratch page	Basic page	Unpublished	2		403	0	1	13	ENGL - 13				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456430	link	https://arts.ucalgary.ca/geog-scratch-page	GEOG scratch page	Basic page	Unpublished	2		403	0	1	3	GEOG - 3				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456431	link	https://arts.ucalgary.ca/hist-scratch-page	HIST scratch page	Basic page	Unpublished	2		403	0	1	29	HIST - 29				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456432	link	https://arts.ucalgary.ca/iis-scratch-page	IIS scratch page	Basic page	Unpublished	2		403	0	1	30	IIS - 30				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456433	link	https://arts.ucalgary.ca/phil-scratch-page	PHIL scratch page	Basic page	Unpublished	2		403	0	1	33	PHIL - 33				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456434	link	https://arts.ucalgary.ca/phil-for-everyone-scratch-page	Phil for everyone scratch page	Basic page	Unpublished	2		403	0	1	66	Philosophy for everyone				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456435	link	https://arts.ucalgary.ca/poli-scratch-page	POLI scratch page	Basic page	Unpublished	2		403	0	1	9	POLI - 9				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456436	link	https://arts.ucalgary.ca/psyc-scratch-page	PSYC scratch page	Basic page	Unpublished	2		403	0	1	34	PSYC - 34				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456437	link	https://arts.ucalgary.ca/psyc-clinic-scratch-page	PSYC CLINIC scratch page	Basic page	Unpublished	2		403	0	1	56	Psychology Clinic				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456438	link	https://arts.ucalgary.ca/scpa-scratch-page	SCPA scratch page	Basic page	Unpublished	2		403	0	1	26	SCPA - 26	1	26	SCPA - 26	2		1	1	0	50	50	Banner|Hero CTA	Banner (1,2024-01-31) | Hero CTA (1,2024-01-16)	
arts	1456439	link	https://arts.ucalgary.ca/slllc-scratch-page	SLLLC scratch page	Basic page	Unpublished	2		403	0	1	22	SLLLC - 22				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456440	link	https://arts.ucalgary.ca/french-centre-scratch-page	French Centre scratch page	Basic page	Unpublished	2		403	0	1	54	FRENCH CENTRE - 54				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456441	link	https://arts.ucalgary.ca/soci-scratch-page	SOCI scratch page	Basic page	Unpublished	2		403	0	1	35	SOCI - 35				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-16)	
arts	1456443	link	https://arts.ucalgary.ca/node/1456443	Online Monthly Book Club	Basic page	Unpublished	2		403	1	1	23	CDWP - 23				1		1	0	0	100	0	Hero CTA	Hero CTA (1,2024-01-23)	
arts	1456444	link	https://arts.ucalgary.ca/calgary-distinguished-writers-program/writer-residence/online-monthly-book-club	Online Monthly Book Club	Basic page	Unpublished	1.8	16	403	2	1	23	CDWP - 23	1	23	CDWP - 23	7		1	6	0	14	86	Hero CTA|Image with Text	Hero CTA (2,2024-04-02) | Image with Text (5,2024-04-11)	
arts	1456445	link	https://arts.ucalgary.ca/political-science/research/mark-grosjean-postdoctoral-fellowship/past-fellows	Mark Grosjean postdoctoral fellowship past fellows	Basic page	Unpublished	1.7		403	3	1	9	POLI - 9	2	1|9	ARTS - 1|POLI - 9	3		1	1	1	33	33	Banner|Hero CTA|Thumbnail	Banner (1,2024-04-26) | Hero CTA (1,2024-04-26) | Thumbnail (1,2024-01-24)	
arts	1456448	link	https://arts.ucalgary.ca/about/office-dean/faculty-council-and-committees	Faculty Council and Committees	Basic page	Published	0.1	1062	200	2	1	1	ARTS - 1	1	1	ARTS - 1	31	3	1	30	0	3	97	Accordion (Minimal)|Divider|Hero CTA|Info Shim|More Information|Text	Accordion (Minimal) (11,2025-12-10) | Divider (2,2024-02-06) | Hero CTA (1,2024-02-02) | Info Shim (1,2024-02-02) | More Information (1,2024-02-29) | Text (15,2025-12-15)	Hero CTA|More Information|Text
arts	1456451	link	https://arts.ucalgary.ca/about/office-dean/associate-deans/research-old	Associate Dean Research	Basic page	Unpublished	1		403	3	1	1	ARTS - 1	1	1	ARTS - 1	17	7	2	15	0	12	88	Accordion (Minimal)|Divider|Hero CTA|Image|Info Shim|More Information|Text	Accordion (Minimal) (2,2025-01-21) | Divider (1,2024-01-26) | Hero CTA (1,2024-09-17) | Image (2,2025-01-21) | Info Shim (1,2024-01-26) | More Information (1,2024-02-29) | Text (9,2025-01-21)	Accordion (Minimal)|Image|Info Shim|More Information|Text
arts	1456453	link	https://arts.ucalgary.ca/node/1456453	Test	Basic page	Unpublished	2		403	1	0						2		2	0	0	100	0	Banner|Hero CTA	Banner (1,2024-01-30) | Hero CTA (1,2024-01-30)	
arts	1456463	link	https://arts.ucalgary.ca/calgary-institute-humanities/events-and-community/annual-community-forum/conspiracy-thinking-2024	Conspiracy Thinking (2024) | Calgary Institute for the Humanities | University of Calgary	Basic page	Published	1.7	137	200	3	1	24	CIH - 24	1	24	CIH - 24	5		1	4	0	20	80	Hero CTA|Text|Text Grid	Hero CTA (2,2024-03-01) | Text (1,2024-05-13) | Text Grid (2,2024-03-28)	
arts	1456467	link	https://arts.ucalgary.ca/philosophy/about/draft-philosophy-everyone-program/work-us	P4E Work with us	Basic page	Published	0.6	46	200	3	2	33|66	PHIL - 33|Philosophy for everyone	2	33|66	PHIL - 33|Philosophy for everyone	4	1	1	2	1	25	50	Hero CTA|More Information|Text	Hero CTA (1,2024-10-18) | More Information (1,2025-06-26) | Text (2,2024-03-11)	More Information
arts	1456470	link	https://arts.ucalgary.ca/calgary-institute-humanities/events-and-community/lecture-series/international-holocaust-remembrance-day-lecture-series	International Holocaust Remembrance Day Lecture Series	Basic page	Published	1.1	168	200	3	2	1|24	ARTS - 1|CIH - 24	1	1	ARTS - 1	14		12	0	2	86	0	Divider|Hero CTA|Image|Image with Text|Info Shim|Table|Text	Divider (1,2024-03-14) | Hero CTA (1,2024-12-13) | Image (3,2024-04-10) | Image with Text (1,2024-12-13) | Info Shim (1,2024-03-14) | Table (1,2024-12-04) | Text (6,2024-12-18)	
